Valor Arriendo,Valor_Arriendo_SM,Area Construida,Cuartos,Banos,Garajes,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
3200000,2.4615384615384617,84.5,3,2,1,5.0,4.647226333618164,-74.10733795166016,96.07278538851646,274.21253911857883,1.0,1.0,1.0,1.0,621.9976342013225,467.2340957076011,78.99634476237762,1.0
3000000,2.3076923076923075,80.0,3,2,1,4.0,4.628317832946777,-74.1234130859375,276.02642362857586,277.22369645546,1.0,1.0,1.0,1.0,187.44742494420186,291.6296754036191,102.0166230041079,1.0
2300000,1.7692307692307692,74.0,3,2,1,3.0,4.6333221238,-74.1284063555,445.4130508193059,383.68431456718844,1.0,1.0,1.0,1.0,468.16178949258824,148.25325055373315,414.84667920338524,1.0
2700000,2.076923076923077,70.0,3,2,2,4.0,4.64,-74.10097,455.16686348704974,191.0127930270531,1.0,1.0,1.0,1.0,397.81723465911284,269.7626364243435,589.5743346287841,1.0
1650000,1.2692307692307692,58.0,2,2,0,3.0,4.640581130981445,-74.12783813476562,1163.7663564200636,14.139110524680262,1.0,1.0,1.0,1.0,1188.4147735567467,407.1346508807271,511.1457892131317,1.0
3800000,2.923076923076923,55.88,3,2,0,4.0,4.64214,-74.12848,1341.2663373631308,142.69048528119228,1.0,1.0,1.0,1.0,1006.0320307649947,225.09823543064158,518.2040396250239,1.0
1550000,1.1923076923076923,32.0,2,1,0,3.0,4.631858,-74.1209586,95.58174021934242,50.774065280711504,1.0,1.0,1.0,2.0,494.2179861414582,552.7159245445429,159.52836686868247,1.0
4030000,3.1,90.0,3,2,1,4.0,4.64497,-74.10489,459.5593678074328,177.90537875813357,1.0,1.0,1.0,1.0,369.44721752028784,397.70251566219264,441.79172375601405,1.0
1400000,1.0769230769230769,40.6,2,1,0,,4.6412700000000005,-74.12817,1245.3721164357808,73.79234357803057,1.0,1.0,1.0,1.0,1104.637635745213,323.1000316892573,515.5581593757886,1.0
4350000,3.3461538461538463,68.0,2,2,1,,4.64604413,-74.11749315,656.4443052309304,638.8293765639357,1.0,1.0,1.0,1.0,932.716319952763,686.5701087113188,624.8186476578228,1.0
1600000,1.2307692307692308,95.0,4,2,0,3.0,4.61993,-74.11555,985.4229455421503,279.4849508620399,1.0,1.0,1.0,1.0,123.03610107278155,147.43262562449206,886.7338619570484,1.0
3200000,2.4615384615384617,60.0,2,2,1,,4.632505416870117,-74.13054656982422,315.4637204330041,339.7373509017849,1.0,2.0,1.0,1.0,401.77846022994026,109.19737313648822,274.82592988509566,1.0
3100000,2.3846153846153846,90.0,3,2,1,4.0,4.632246,-74.097105,322.5019386813152,307.300142934807,1.0,1.0,1.0,1.0,312.76743188540513,235.56417736986054,605.2418126697374,1.0
3500000,2.6923076923076925,87.18,3,2,2,4.0,4.64091,-74.10185,556.2490648959832,210.84801794731808,1.0,1.0,1.0,1.0,283.2237396015959,257.35105373439944,584.5247191237312,1.0
5500000,4.230769230769231,120.0,3,3,2,5.0,4.6422199,-74.1014689,546.5764575802773,61.809282071685125,1.0,1.0,1.0,1.0,146.8591682216544,116.52353923618354,460.90698007788205,1.0
3028000,2.329230769230769,60.0,2,2,1,,4.633415222167969,-74.09868621826172,405.17447060398445,339.4209671208678,1.0,1.0,1.0,1.0,354.14304171938704,335.26390166566705,715.7600502821543,1.0
3900000,3.0,64.0,3,2,0,4.0,4.64273,-74.12795,1306.0308693746874,224.26205556490982,1.0,1.0,1.0,1.0,990.931540993989,229.17396854535184,449.5408320298025,1.0
3500000,2.6923076923076925,87.0,2,2,1,4.0,4.64389,-74.10778,318.2452557208636,504.3981746471814,1.0,1.0,1.0,1.0,652.4563871772897,672.9428145214041,303.49412651521874,1.0
