Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
3832700,2.9482307692307694,104.0,5.0,4.707089424133301,-74.06936645507812,205.620496407428,418.87490151279985,1.0,1.0,1.0,1.0,241.03171022758943,234.91688612991476,219.85265297828127,1.0
5300000,4.076923076923077,72.0,6.0,4.678069114685059,-74.04156494140625,674.6967075604894,388.68802321557285,1.0,1.0,1.0,1.0,298.12447804877064,363.9369025048277,211.5311323169364,1.0
12500000,9.615384615384615,123.0,6.0,4.6633723,-74.0491868,1266.6634777808194,78.98896957919848,3.0,1.0,1.0,1.0,102.57738893476022,107.77928496168518,55.47552436783178,1.0
3900000,3.0,68.0,,4.618292808532715,-74.06745147705078,392.4232806341929,148.79293139835366,1.0,1.0,1.0,1.0,164.33296850860748,96.22795458676298,95.21539039874206,1.0
8400000,6.461538461538462,131.0,,4.713766412,-74.087517163,855.5914226727642,605.9682356565996,1.0,1.0,1.0,1.0,566.8784917382054,625.4306771659408,287.53486849191415,1.0
7900000,6.076923076923077,154.0,6.0,4.6877112,-74.0553025,170.50728648222284,130.44583920374842,1.0,1.0,1.0,1.0,164.00972607199947,322.05579409736515,119.7495521365188,1.0
8800000,6.769230769230769,108.0,,4.678706645965576,-74.04354095458984,524.4219542025306,192.94842740877326,1.0,1.0,1.0,1.0,108.17952160411912,146.6855673466341,376.6637082555583,1.0
13276000,10.212307692307693,320.0,6.0,4.674225807189941,-74.04243469238281,1034.8965687957307,484.72168680079255,1.0,1.0,1.0,1.0,547.770547403059,545.1767514599545,38.017132475251145,1.0
12900000,9.923076923076923,190.0,6.0,4.673057556152344,-74.0475082397461,1176.3017561900267,115.30748760785431,1.0,1.0,1.0,1.0,266.4055865700929,87.48750651408157,445.1536927897663,1.0
5890000,4.530769230769231,135.0,6.0,4.69536828994751,-74.04407501220703,825.0333226188875,102.63557658930793,1.0,1.0,1.0,1.0,134.58828064215513,78.47476495843921,124.59206004957797,1.0
9600000,7.384615384615385,130.0,6.0,4.65563440322876,-74.05272674560547,700.976618134469,204.91888594923344,1.0,1.0,1.0,1.0,55.33337455682523,156.16283744237273,207.7261449181839,1.0
13276000,10.212307692307693,320.0,6.0,4.674225807189941,-74.04243469238281,1034.8965687957307,484.72168680079255,1.0,1.0,1.0,1.0,547.770547403059,545.1767514599545,38.017132475251145,1.0
1335000,1.0269230769230768,32.0,4.0,4.637885093688965,-74.06157684326172,621.6676920992792,191.7751281242824,1.0,1.0,1.0,1.0,210.6659095424624,182.242713837924,195.81936748781322,1.0
3350000,2.576923076923077,75.0,5.0,4.711414337158203,-74.04959106445312,479.3698785045549,392.05203835115145,1.0,1.0,1.0,1.0,570.9123303156944,588.7496166751584,586.5119179781883,1.0
7000000,5.384615384615385,247.0,,4.719263076782227,-74.07594299316406,263.9649711474459,71.63260265468013,1.0,1.0,1.0,1.0,432.6984866646898,366.28970152029666,168.7807200968737,1.0
3700000,2.8461538461538463,67.0,5.0,4.699324607849121,-74.05305480957031,292.8270881624133,49.32561417237567,2.0,1.0,1.0,2.0,37.20937802641713,23.066062087352996,35.88901518187037,1.0
