Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m,Cuartos,Banos,Garajes
2470000,1.9,72.0,,4.75357,-74.06134,1700.2343565634174,129.61175619803154,1.0,1.0,1.0,1.0,371.1710576424957,290.9609383469503,292.4895094852277,1.0,3.0,2.0,1.0
1300000,1.0,53.5,4.0,4.633489,-74.07244,553.9416498631849,21.80045527699614,1.0,1.0,1.0,5.0,147.50974343762144,26.271526267060484,525.7630815880104,1.0,1.0,1.0,0.0
1500000,1.1538461538461535,38.0,4.0,4.630457878112793,-74.06541442871094,287.8775608459764,84.73910926504044,1.0,1.0,1.0,1.0,93.1927023493166,63.44478776606745,97.56494469978745,4.0,1.0,1.0,0.0
2500000,1.9230769230769231,32.0,,4.6584277,-74.06184,166.94656160198934,43.95194506904152,1.0,1.0,1.0,2.0,122.89817582582911,24.32941016467326,207.9709588695994,5.0,1.0,1.0,0.0
1350000,1.0384615384615383,70.0,,4.5845227,-74.10286,335.2929559000289,76.71940314780419,2.0,1.0,1.0,1.0,28.567991937080237,197.63752578124064,204.680051741755,1.0,2.0,1.0,0.0
4700000,3.615384615384616,64.0,,4.65786,-74.05958,106.60293837033562,34.69477108582297,1.0,1.0,2.0,3.0,59.76522048815245,134.84768849151288,369.18843979844223,2.0,2.0,2.0,0.0
3900000,3.0,83.0,,4.689426,-74.04231,373.96312422919897,106.33475802478672,1.0,1.0,1.0,1.0,377.9013733283183,507.49391854886346,99.57523155264047,1.0,2.0,3.0,2.0
1600000,1.2307692307692308,37.0,2.0,4.7466803,-74.023506,1590.2811908267497,409.3934529329552,1.0,1.0,1.0,1.0,597.310771669766,307.0919572765369,19.11598329547081,1.0,1.0,1.0,0.0
2200000,1.6923076923076923,40.0,4.0,4.6151323,-74.065544,408.1914582860813,154.317463406325,1.0,1.0,1.0,1.0,145.26233919622757,266.1485376039232,211.49313302258685,3.0,1.0,1.0,0.0
1200000,0.9230769230769232,60.0,3.0,4.602984,-74.12039,110.01763715827325,124.04138673135894,1.0,1.0,1.0,1.0,136.26351260858183,84.15179282111748,56.09232216089814,1.0,2.0,1.0,0.0
4900000,3.769230769230769,100.0,6.0,4.692634105682373,-74.05376434326172,271.0764211340152,309.14885680693493,1.0,1.0,1.0,1.0,231.2346426683847,235.23194712018497,684.0921879721819,1.0,2.0,2.0,2.0
6300000,4.846153846153846,116.0,5.0,4.688,-74.04486,519.0837672080023,221.1386826854911,1.0,1.0,1.0,1.0,284.3581821961312,219.2991492539197,105.98844127976618,1.0,3.0,3.0,2.0
3270000,2.5153846153846158,51.4,,4.687525272369385,-74.03878784179688,267.39900295339726,87.95865985577971,1.0,1.0,1.0,1.0,376.1589905299146,359.04397296734123,271.9396118033401,1.0,1.0,2.0,1.0
8900000,6.846153846153846,115.0,5.0,4.68799352645874,-74.04481506347656,518.1999086360822,216.8576700037285,1.0,1.0,1.0,1.0,289.39449047986767,220.2701985044564,101.67329281932882,1.0,2.0,3.0,2.0
4300000,3.3076923076923075,95.0,,4.672351837158203,-74.0515365600586,899.5359632394538,158.98507521214165,1.0,1.0,1.0,1.0,147.08589258370324,109.63311610387106,812.5484625428716,1.0,3.0,3.0,1.0
10504000,8.08,142.0,6.0,4.67604923248291,-74.05790710449219,126.91831862764354,85.18976857696939,1.0,1.0,1.0,1.0,502.0096937904594,190.4359664468413,286.59628094527704,1.0,3.0,5.0,4.0
8000000,6.153846153846154,110.0,6.0,4.704408645629883,-74.04358673095703,1184.0232669830891,38.87295535853336,1.0,1.0,1.0,2.0,177.21435378468777,158.08421788092303,33.52775476948324,1.0,2.0,2.0,2.0
9300000,7.153846153846154,152.14,5.0,4.686805725097656,-74.0373306274414,221.02469139855,186.4555652992121,1.0,1.0,1.0,1.0,231.2930759320689,308.9015733684485,222.03269436614235,1.0,4.0,3.0,2.0
3832700,2.948230769230769,104.0,5.0,4.707089424133301,-74.06936645507812,205.620496407428,418.8749015127999,1.0,1.0,1.0,1.0,241.03171022758943,234.9168861299148,219.85265297828127,1.0,3.0,3.0,2.0
5300000,4.076923076923077,72.0,6.0,4.678069114685059,-74.04156494140625,674.6967075604894,388.68802321557285,1.0,1.0,1.0,1.0,298.12447804877064,363.9369025048277,211.5311323169364,1.0,1.0,2.0,1.0
3900000,3.0,68.0,,4.618292808532715,-74.06745147705078,392.4232806341929,148.79293139835366,1.0,1.0,1.0,1.0,164.33296850860748,96.22795458676298,95.21539039874206,1.0,2.0,2.0,1.0
7900000,6.076923076923077,154.0,6.0,4.6877112,-74.0553025,170.50728648222284,130.44583920374842,1.0,1.0,1.0,1.0,164.00972607199947,322.05579409736515,119.7495521365188,1.0,3.0,5.0,2.0
8800000,6.769230769230769,108.0,,4.678706645965576,-74.04354095458984,524.4219542025306,192.94842740877328,1.0,1.0,1.0,1.0,108.17952160411912,146.6855673466341,376.6637082555583,1.0,2.0,3.0,2.0
5890000,4.530769230769231,135.0,6.0,4.69536828994751,-74.04407501220703,825.0333226188875,102.63557658930792,1.0,1.0,1.0,1.0,134.58828064215513,78.47476495843921,124.59206004957797,1.0,3.0,3.0,2.0
9600000,7.384615384615385,130.0,6.0,4.65563440322876,-74.05272674560547,700.976618134469,204.91888594923344,1.0,1.0,1.0,1.0,55.33337455682523,156.16283744237273,207.7261449181839,1.0,3.0,4.0,2.0
1335000,1.0269230769230768,32.0,4.0,4.637885093688965,-74.06157684326172,621.6676920992792,191.7751281242824,1.0,1.0,1.0,1.0,210.6659095424624,182.242713837924,195.8193674878132,1.0,1.0,1.0,0.0
3350000,2.576923076923077,75.0,5.0,4.711414337158203,-74.04959106445312,479.3698785045549,392.05203835115145,1.0,1.0,1.0,1.0,570.9123303156944,588.7496166751584,586.5119179781883,1.0,2.0,2.0,2.0
3700000,2.8461538461538463,67.0,5.0,4.699324607849121,-74.05305480957031,292.8270881624133,49.32561417237567,2.0,1.0,1.0,2.0,37.20937802641713,23.066062087353,35.88901518187037,1.0,1.0,2.0,2.0
